Date,LTCBTC,open,high,low,close,vol_btc,vol_aud,weighted_price
14/4/14,0.02520,475,489,475,484.99,5.17,2495.14,482.58
15/4/14,0.02541,487,487,482,484,10.62,5140.15,484.01
16/4/14,0.02526,484,487.99,482,482,8.81,4278.31,485.36
17/4/14,0.02569,486,486,480,480,6.39,3091.29,483.94
18/4/14,0.02540,480,484.5,471.08,475,20.75,9905.5,477.45
19/4/14,0.02579,474,530,471.07,530,54.14,26459.8,488.72
20/4/14,0.02547,516,550.4,497.99,520,34.5,18393.83,533.22
21/4/14,0.02538,550.38,598.5,515,586.68,39.19,22135.91,564.8
22/4/14,0.02516,598.5,669.9,580.5,585,49.26,29701.54,602.92
23/4/14,0.02508,580,600,575.1,575.1,6.06,3522.35,581.32
24/4/14,0.02547,593,630,593,630,11.27,6960.31,617.57
25/4/14,0.02412,612,654.6,612,642.44,16.28,10312.45,633.41
26/4/14,0.02346,643.61,660,607,613,55.04,34534.93,627.42
27/4/14,0.02301,640,653.9,616.01,620.01,20.2,12831.22,635.27
28/4/14,0.02330,621.29,669.9,609,620,20.8,13191.26,634.27
29/4/14,0.02365,635.02,685,610.01,685,38.15,25252.85,661.96
30/4/14,0.02475,684,700,661.11,679,19.36,13240.16,684.03
1/5/14,0.02460,679,720,675,690,33.4,23441.88,701.91
2/5/14,0.02409,703.5,773.9,661,701.9,63.33,44999.73,710.56
3/5/14,0.02372,725,779.9,700.5,721.2,55.29,40368.16,730.06
4/5/14,0.02381,717.1,765,695,707,43.42,30993.2,713.78
5/5/14,0.02390,718.57,765,705,726,53.27,38830.01,728.92
6/5/14,0.02426,726,749.99,705.1,725.9,22.01,15964.33,725.28
7/5/14,0.02419,723.02,725,709,715,9.64,6912.66,716.84
8/5/14,0.02412,711,712,708,708,6.7,4763.28,710.63
10/5/14,0.02406,711,711.01,700,711.01,8.26,5805.47,702.55
11/5/14,0.02393,709,739,700,711,40.64,29104.92,716.2
12/5/14,0.02380,727,727,685,685,25.14,17754.81,706.18
13/5/14,0.02376,685,717,610,642.64,38.82,26135.73,673.3
14/5/14,0.02369,620,671.28,608.83,609.91,30.11,19553.4,649.33
15/5/14,0.02360,620.12,645.09,597.54,605,17.26,10721.78,621.19
16/5/14,0.02335,595.52,646.69,595.52,646.69,7.56,4583.08,606.18
17/5/14,0.02333,656.8,700,621.56,643.14,19.75,12947.76,655.57
18/5/14,0.02332,644.4,655,630,654.5,9.8,6330.98,646.02
19/5/14,0.02329,654.5,670.58,644.65,655,17.85,11854.11,664.2
20/5/14,0.02226,660,700,655.09,658.07,22.97,15335.05,667.48
21/5/14,0.02177,651.2,680,630,658.99,20.25,13252.11,654.37
22/5/14,0.02057,656.37,656.37,626,627,13.64,8750.18,641.5
23/5/14,0.02152,626,662,626,657.83,9.56,6283.72,657.16
24/5/14,0.02142,649.57,659,629.52,646.96,11.31,7272.09,642.78
25/5/14,0.02029,646.65,661,627,641.32,35.58,22830.43,641.71
26/5/14,0.01984,627.1,634.29,612,615.07,40.69,25466.39,625.89
27/5/14,0.01968,645.1,645.1,611.35,624.5,24.68,15340.25,621.53
28/5/14,0.01928,624.5,633,411,632.5,57.97,34168.43,589.38
29/5/14,0.01922,625,650,590,627.01,15.9,9817.35,617.58
30/5/14,0.01838,630,650,625,625,8.67,5470.67,631
31/5/14,0.01768,625,700,625,680,33.87,22413.69,661.79
1/6/14,0.01746,680,701.53,667.27,690,41.23,28514.12,691.53
2/6/14,0.01754,694.99,700,678,700,24.45,16874.55,690.15
3/6/14,0.01734,695,710.1,686,699.99,32.55,22833.03,701.55
4/6/14,0.01723,699.99,706,681.5,703.71,21.1,14703.04,696.84
5/6/14,0.01724,684,701.8,681.5,683.6,11.16,7719.94,691.81
6/6/14,0.01722,683.6,700,676.1,676.1,2.48,1692.97,683.17
7/6/14,0.01711,698.99,698.99,674.9,674.9,14.76,10089.71,683.52
8/6/14,0.01722,689.99,690,670.11,671.1,14.32,9805.86,684.99
9/6/14,0.01735,688.02,688.87,671.22,683,9.99,6836.93,684.17
10/6/14,0.01706,671.31,683.6,661.1,661.1,28.01,18831.14,672.22
11/6/14,0.01724,661.1,681.5,661.06,680,5.31,3552.7,669.09
12/6/14,0.01726,670,680.9,665.05,680,8.7,5849.28,672.01
13/6/14,0.01699,676,680,665.1,665.1,6.57,4417.38,672.41
14/6/14,0.01720,678,701,665.39,680,25.37,17424.81,686.78
15/6/14,0.01707,680,682.1,670,670,20.66,13963.58,675.72
16/6/14,0.01630,677.9,694.91,666.5,679.99,39.05,26537.46,679.57
17/6/14,0.01585,667.9,681,655,680,26.23,17612.45,671.51
18/6/14,0.01605,681,684.5,661.02,679.99,16.73,11307.02,675.88
19/6/14,0.01691,665,677,662,665.01,4.14,2779.12,670.54
20/6/14,0.01658,676.95,679.99,656.44,656.44,4.21,2804.01,666.37
21/6/14,0.01654,675,683.04,658.33,671,16.93,11325.96,668.81
22/6/14,0.01628,671,689,665.28,675,24.23,16488.67,680.63
23/6/14,0.01642,675,678.99,673,678.82,17.86,12058.56,675.05
24/6/14,0.01640,681,682,634.01,641,34.44,22939.76,666.09
25/6/14,0.01625,658,663.99,635.01,645,13.77,9059.61,657.75
26/6/14,0.01573,658,658,630,640.01,14.83,9515.25,641.43
27/6/14,0.01555,640,640.01,630,630.1,9.83,6267.27,637.31
28/6/14,0.01538,636.99,657.9,601.01,638.99,15.83,9854.57,622.61
29/6/14,0.01497,638.99,689,630,679.99,60.79,39324.26,646.84
1/7/14,0.01325,679.99,679.99,611.83,630,15.13,9520.12,629.08
2/7/14,0.01268,629.99,632.95,601,626,19.39,12095.74,623.85
3/7/14,0.01253,635,640,626,640,18.84,11999.41,637
4/7/14,0.01168,615,638.99,615,636.99,29.64,18335.62,618.65
5/7/14,0.01172,636.99,639.99,618.1,630,7.01,4450.69,634.99
6/7/14,0.01120,630,645,628,635,23.45,14906.56,635.61
7/7/14,0.01215,635,650,615,621,40.56,25977.91,640.41
8/7/14,0.01230,621,639.99,615.1,639.99,11.45,7194.5,628.55
9/7/14,0.01247,639.89,639.9,621.01,631.2,11.4,7220.44,633.44
10/7/14,0.01259,630.99,638,630.99,638,20.2,12871.51,637.27
11/7/14,0.01248,638,645,631,631.99,6.25,3989.64,638.11
12/7/14,0.01386,642.99,643.99,634,643.98,4.3,2751.31,639.38
13/7/14,0.01438,634,644.98,625,634.98,34.88,22341.11,640.47
14/7/14,0.01402,634.97,639,615.15,629,31.86,19930.58,625.48
15/7/14,0.01400,624.99,624.99,565,598.99,26.48,16002.96,604.4
16/7/14,0.01364,594.25,595,550,562.5,25.67,14650.14,570.66
17/7/14,0.01393,567.99,567.99,541,553.57,17.45,9675.19,554.49
18/7/14,0.01408,531.9,585,526,560,9.17,5043.2,549.81
19/7/14,0.01407,566.89,573.97,526.01,526.01,7.88,4317.63,547.94
20/7/14,0.01382,557.53,558,490.99,517,38.01,20107.76,529
21/7/14,0.01389,505,539,495,529.99,51.65,26584.28,514.72
22/7/14,0.01389,530,599.8,511,583,26.99,14479.39,536.45
23/7/14,0.01372,575,582.99,535,582.98,21.58,12319.6,570.99
24/7/14,0.01330,578.98,582.97,551,552.02,36.12,20263.57,560.97
25/7/14,0.01265,552.02,572.97,530.12,530.22,13.2,7283.3,551.93
26/7/14,0.01279,530.22,556.81,530,547,5.04,2718.38,539.75
27/7/14,0.01312,547,557.9,530,544,27.3,14949.17,547.61
28/7/14,0.01296,557.69,557.9,538,555,37.74,20810.54,551.37
29/7/14,0.01310,557.99,570,555,556.99,23.77,13320.74,560.48
30/7/14,0.01294,560,560,538,549.99,9.11,4984.31,546.99
31/7/14,0.01293,542.11,558.96,542.1,556.64,10.62,5866.09,552.13
2/8/14,0.01303,551.62,553.92,512,520.67,10.83,5840.54,539.16
4/8/14,0.01268,520.57,549.96,520.56,520.56,16.24,8824.13,543.42
6/8/14,0.01235,520,539.89,511,537.88,52.72,27175.17,515.48
7/8/14,0.01225,537.98,569.99,530.01,564.9,26.83,14643.75,545.87
8/8/14,0.01196,536.11,564.89,520.05,528,42.3,22710.55,536.94
9/8/14,0.01178,528,539.98,515.04,528.5,16.53,8698.12,526.15
10/8/14,0.01180,528.5,540.99,528.5,534.6,10.65,5725.09,537.48
11/8/14,0.01066,528,539.86,521.01,522.12,16.23,8640.41,532.41
12/8/14,0.00994,511,538,511,534,13.91,7212.89,518.47
13/8/14,0.00916,533.78,533.89,510,520,28.27,14595.95,516.35
14/8/14,0.00998,529.49,529.49,515,524.87,15.86,8340.54,525.92
15/8/14,0.01017,515.22,548,515,532.2,17.29,9226.91,533.7
16/8/14,0.00967,546,546,511,525.12,27.09,14476.56,534.47
17/8/14,0.00910,540.99,542.99,519,525.1,10.86,5722.97,526.9
18/8/14,0.00819,535.99,535.99,513.5,531.99,12.07,6380.18,528.61
19/8/14,0.00942,516.5,529.94,500.99,505,17.94,9074.71,505.87
20/8/14,0.01087,530,534.99,520,525,23.09,12225.92,529.6
21/8/14,0.01105,525,534.4,520.4,520.4,35.11,18611.89,530.14
22/8/14,0.01028,530,534.98,501.02,526.94,74.43,39126.16,525.65
23/8/14,0.00969,511,530,495,496,69.43,35031.07,504.56
24/8/14,0.01073,513.95,513.95,450.02,498.39,16.11,7849.5,487.34
25/8/14,0.01042,479.78,498.38,441.62,450,27.42,12785.31,466.36
26/8/14,0.01081,441.62,489.88,415,453.1,21.56,9802.96,454.72
27/8/14,0.01054,474.69,485,450,479,20.18,9587.27,475.04
28/8/14,0.01031,479,503,453,502,95.58,45160.22,472.49
29/8/14,0.01056,493,500.9,459,480,29.44,14492.11,492.26
30/8/14,0.01031,476.01,490.99,475,485.98,31.23,15096.02,483.37
31/8/14,0.01017,485.5,485.98,451,477.99,31.51,14933.84,473.93
1/9/14,0.01024,477.9,480,460.1,478.9,9.97,4776.98,478.93
2/9/14,0.01016,478.8,478.9,440,440,22.27,10211.99,458.48
3/9/14,0.01026,426.71,460,408,448.9,37.58,16293.02,433.56
4/9/14,0.01072,439,469.9,435,458.99,29.67,13345.53,449.74
5/9/14,0.01032,454.99,465,437,464.9,24.25,10945.08,451.35
6/9/14,0.01030,462.9,463,440,459,51.7,23426.43,453.14
7/9/14,0.01068,459,459,415.02,417.1,45.75,20098.75,439.36
8/9/14,0.01063,415.13,430.1,388,399.89,52.34,21161.05,404.3
10/9/14,0.01070,385,479,250.5,478.79,45.68,17555.36,384.32
4/10/14,0.01186,400,413.9,322,395,49.86,18405.97,369.12
16/10/14,0.01054,415,449,381.82,424,55.98,22741.26,406.22
18/10/14,0.01046,408,425,395,414.99,132.3,54779.11,414.04
19/10/14,0.01029,414.99,448,399,419,103.6,43089.37,415.93
20/10/14,0.01028,419.1,450,410,429.99,90.86,39083.54,430.15
21/10/14,0.01026,445,445,414.43,426,88.86,37620.58,423.36
22/10/14,0.01013,421.1,446,415,434.99,391.62,166234.32,424.48
23/10/14,0.01045,425.01,446,415,446,45.38,19965.42,439.92
24/10/14,0.01052,445.6,499.99,445.5,478.73,94.45,44693.15,473.17
25/10/14,0.01054,479.9,486.99,450,465,96.91,45041.95,464.8
26/10/14,0.01053,465,480,442.51,468.69,67.75,31391.91,463.33
27/10/14,0.01079,455,464,420,457.45,64.96,28897.47,444.84
28/10/14,0.01090,445,451.5,420.23,451.21,22.8,9945.03,436.17
29/10/14,0.01107,449.99,449.99,410,444.97,27.45,11735.46,427.52
30/10/14,0.01099,444.97,459.99,429.96,447,91.58,40886.73,446.48
31/10/14,0.01111,448,454,430.5,439,150.69,66002.01,438
1/11/14,0.01107,445,455.18,430.72,439.99,92.53,41006.91,443.16
2/11/14,0.01109,439.99,449,410,423.49,133.94,57407.92,428.61
3/11/14,0.01104,422.05,425,402.98,412.03,109.13,45013.48,412.49
4/11/14,0.01099,419.99,420,388.32,404.98,107.55,43383.22,403.39
5/11/14,0.01077,395.11,415.01,395.11,404.01,22.17,8918.11,402.32
6/11/14,0.01049,409.99,428,404.04,419.9,117.79,48654.42,413.05
7/11/14,0.01047,419,429,410,423.99,87.29,36693.77,420.36
8/11/14,0.01100,424,424,390,399.22,125.51,51380.03,409.38
9/11/14,0.01013,399.22,412.72,383,406.11,77.34,30693.42,396.87
13/11/14,0.00987,400,408,386,396,86.67,34597.05,399.2
14/11/14,0.01002,400,402,373,382.2,67.44,25984.61,385.29
15/11/14,0.01026,379.99,390.72,375,390.19,25.86,9909.15,383.24
16/11/14,0.01005,389,394,376.42,389.75,95.76,36926.7,385.61
17/11/14,0.01002,389.84,389.94,376.1,386.98,101.57,38990.21,383.89
18/11/14,0.00999,386.99,412,386.39,401.05,95.59,38009.57,397.64
19/11/14,0.01004,410.89,419.99,404,419.99,98.1,40535.61,413.23
20/11/14,0.01008,419.99,423,403.97,406.1,76.44,31773.09,415.64
21/11/14,0.00996,406.74,414,402.52,410,20.37,8310.53,407.91
22/11/14,0.00994,407.27,422,406.62,421.49,48.27,19868.81,411.65
23/11/14,0.00978,423,435,410.52,434.9,90.35,38411.98,425.13
24/11/14,0.00955,427.04,439.99,422.09,434.9,104.98,45463.03,433.07
25/11/14,0.00949,433,499.88,433,488,130.54,59572.5,456.36
26/11/14,0.00968,488,545,455.09,489.19,160.57,81684.64,508.72
27/11/14,0.00965,501,508,450.59,457.5,114.88,54539.45,474.74
28/11/14,0.00953,457.6,472.76,440,450,42.6,19257.13,452.08
29/11/14,0.00949,446.52,472.4,446.04,465.15,26.56,12278.83,462.35
30/11/14,0.00944,466,485,451.52,469.9,77.51,36802.05,474.8
1/12/14,0.00938,465.44,470,444.5,453,98.57,44966.43,456.18
2/12/14,0.00951,453,464.45,442.17,444.53,68.25,30858.1,452.14
3/12/14,0.00958,444.53,453.99,419.47,427,59.83,26182.35,437.62
4/12/14,0.00963,420.5,428.87,410,411.81,98.56,40973.69,415.73
5/12/14,0.00956,411.8,434,410.9,414.37,47.01,19982.31,425.09
6/12/14,0.00962,420,435.99,413.04,435.99,17.34,7419.1,427.77
7/12/14,0.00992,435,454,427.55,440.01,67.84,29782.89,439.03
8/12/14,0.01007,445.92,465,445.92,449.16,100.3,45711.09,455.76
9/12/14,0.00996,447.69,449.34,432,444.39,73.27,32406.78,442.27
10/12/14,0.01005,444.4,449.99,430.97,438,54.94,24211.23,440.72
11/12/14,0.00992,444,448,423.11,448,126.01,55437.29,439.95
12/12/14,0.00986,448,450,439.44,439.44,14.36,6438.75,448.37
13/12/14,0.00996,439.25,445,430.1,430.6,21.66,9479.65,437.71
14/12/14,0.00993,437,459.98,437,455,104.01,46803.98,450.01
15/12/14,0.00999,457.42,463.91,446.01,451.07,116.52,53244.03,456.95
16/12/14,0.00920,463.91,466.59,450,457.01,75.01,34273.98,456.95
17/12/14,0.00925,456,463.99,445.6,459.99,77.98,35490.79,455.13
18/12/14,0.00902,457.99,457.99,435.01,454.07,71.15,31830.65,447.39
19/12/14,0.00904,454.07,463.5,450,450.3,47.6,21638.1,454.61
20/12/14,0.00892,453.5,463.04,445.25,458.94,37.27,16900.97,453.53
21/12/14,0.00885,457.5,465,446,448.1,95.53,43793.31,458.42
22/12/14,0.00872,450.06,454,430.01,443.84,129.65,57494.72,443.44
23/12/14,0.00859,441.4,443.9,428.6,428.6,163.3,70949.78,434.49
24/12/14,0.00844,426.59,450.99,416.35,430.67,171.03,74187.01,433.77
25/12/14,0.00849,434.58,443.47,430.5,440.49,106.98,46707.32,436.61
26/12/14,0.00847,438.5,440.5,426,430,77.71,33439.53,430.3
27/12/14,0.00861,428.38,438.7,424.33,438.7,35.78,15441.52,431.56
28/12/14,0.00859,438.7,438.87,425,436,125.47,54476.63,434.17
29/12/14,0.00861,436.15,438.87,410,421,247.84,105060.82,423.91
30/12/14,0.00875,419.87,424.4,396,408.76,252.82,103230.28,408.32
31/12/14,0.00864,408.88,419,380,398,234.38,93406.77,398.53
1/1/15,0.00859,401,405,375,396,137.07,53726.84,391.96
2/1/15,0.00849,389.7,417.99,381,409.03,77.12,31157.79,404.03
3/1/15,0.00759,413,436.15,400,407.75,56.93,23568.98,414.03
4/1/15,0.00741,400.1,421.77,400.1,418,92.61,38187.45,412.33
5/1/15,0.00764,417.9,434.3,408,417,152.9,64057.35,418.94
6/1/15,0.00753,417.88,420,401.99,408.99,71.84,29523.38,410.94
8/1/15,0.00712,406,407,400,400,49.34,19805.92,401.44
9/1/15,0.00693,400.01,406.2,392.25,406.2,60.32,24083.46,399.26
10/1/15,0.00606,405.24,405.24,392.52,395,35.07,13930.94,397.29
11/1/15,0.00657,399.99,399.99,390.66,392.42,10.07,3960.81,393.43
12/1/15,0.00642,396,405.9,383.67,396.48,115.41,45543.01,394.61
13/1/15,0.00707,386,402,383.1,390.99,139.05,54595.43,392.63
14/1/15,0.00665,390.89,396.8,383.93,396.8,60.2,23479.27,390.01
15/1/15,0.00618,399.7,399.7,380.51,386.6,25.53,9978.15,390.87
16/1/15,0.00674,386.5,404,384.54,399.99,54.73,21732.02,397.08
17/1/15,0.00662,399.99,404,355,355,142.62,54062.09,379.07
18/1/15,0.00639,350,360.7,327,341.89,100.67,34555.27,343.24
19/1/15,0.00629,342,355,331.91,341.99,130.98,44866.73,342.53
20/1/15,0.00633,342.5,358.9,338,358.9,194.28,67143.59,345.6
21/1/15,0.00606,359,363.9,350.1,363.9,224.87,80824.94,359.44
22/1/15,0.00612,363.9,368.06,350.01,350.23,174.81,62643.14,358.35
23/1/15,0.00618,356.94,360,347.97,357,167.07,58980.46,353.02
24/1/15,0.00752,357.1,359.99,336.45,338.25,118.95,41135.27,345.82
25/1/15,0.00893,339.99,339.99,326,330.81,43.95,14730.21,335.18
26/1/15,0.00784,332.99,347,324.49,337.31,147.24,48918.67,332.24
27/1/15,0.00797,337.21,344.5,271.1,282.12,534.02,162625.23,304.53
28/1/15,0.00802,282.12,298.98,223,254.69,441.49,112275.26,254.31
29/1/15,0.00831,236,288,232.71,264.72,320.33,80578.73,251.55
30/1/15,0.00835,264.41,293.99,260.74,265.52,154.41,41901.31,271.36
31/1/15,0.00856,265.43,270.95,245.97,251.15,184.21,47627.28,258.55
1/2/15,0.00809,251.25,269.5,232,259.75,85.67,21460.06,250.5
2/2/15,0.00782,265.81,293.5,260,283.99,236.44,64716.98,273.72
3/2/15,0.00807,284,288.99,255,268.56,252.99,68547.54,270.95
4/2/15,0.00800,268.56,288.99,262.45,281,223.77,60869.05,272.01
5/2/15,0.00803,285,297,281,295,171.16,50121.06,292.83
6/2/15,0.00807,295,295,285,294,164.5,47669.55,289.79
7/2/15,0.00795,294,319,291.2,318.27,64.96,19637.51,302.31
8/2/15,0.00800,318.44,324.82,310,323.11,81.51,25948.51,318.35
9/2/15,0.00789,325,380,325,349.12,178.88,64018.65,357.88
10/2/15,0.00801,354.98,357.84,316.13,338,192.5,63711.07,330.96
11/2/15,0.00790,339,352.85,292.02,304.99,331.66,108448.9,326.99
12/2/15,0.00796,307,312.95,282.02,305.88,254.96,76098.36,298.47
13/2/15,0.00774,305.88,315.69,294,295,137.82,41647.67,302.18
14/2/15,0.00740,301.73,305.72,281,286.41,145.06,42212.15,290.99
15/2/15,0.00782,283.06,295.99,275,295,115.02,32438.67,282.02
16/2/15,0.00754,295.99,319.18,289,311.99,223.45,66856.03,299.2
17/2/15,0.00767,305,322.38,294,303.28,235.42,72803.37,309.25
18/2/15,0.00774,301,304.23,285,296.22,226.4,66967.29,295.79
19/2/15,0.00770,298.15,300.28,281,285,112.07,32559.88,290.54
20/2/15,0.00757,285,320,281,293.6,181.25,52233.24,288.19
21/2/15,0.00757,293.3,304.88,289.41,299.05,81.17,23935.93,294.89
22/2/15,0.00759,296.87,300.05,290,298.82,73.56,21561.22,293.1
23/2/15,0.00758,294.83,302.41,283.54,293.97,219.44,64654.64,294.64
24/2/15,0.00762,293.97,298.99,282.97,291.93,321.2,93072.96,289.77
25/2/15,0.00759,291.93,319.95,290,300,240.93,71784.88,297.95
26/2/15,0.00761,300,319.93,289.01,294.5,194.87,58004.37,297.66
27/2/15,0.00760,294.5,314.49,291,309.13,112.04,33526.92,299.25
28/2/15,0.00758,312.59,344.95,305.85,335.35,108.56,35393.73,326.02
1/3/15,0.00731,336.33,347.09,302,307.59,91.95,29737.03,323.42
2/3/15,0.00729,307.67,319.96,302.26,319.96,257.15,79847.63,310.51
3/3/15,0.00698,329,347,306.1,322.99,177.78,56147.49,315.83
4/3/15,0.00715,321,328,311.88,318,235.05,74616.07,317.45
5/3/15,0.00705,318,324.6,311.21,322,104.09,32959.49,316.63
6/3/15,0.00708,316.22,329.01,311.1,329,166.08,53255.88,320.67
7/3/15,0.00695,327.89,328.42,321.46,321.46,82.39,26733.85,324.49
8/3/15,0.00680,324.99,327,312,312,133.81,42254.74,315.77
9/3/15,0.00690,316.9,326,312,321.99,186.11,59484.69,319.62
10/3/15,0.00689,321.99,323,311.91,317,244.06,77596.38,317.93
11/3/15,0.00684,317,318.44,305.19,311.89,160.65,50282.02,313
12/3/15,0.00693,311.49,316.8,304,313.97,156.73,48452.49,309.14
13/3/15,0.00698,309.51,333.44,307.92,333.44,144.76,46574.29,321.72
14/3/15,0.00705,333.88,333.88,322,330,45.97,15006.17,326.4
15/3/15,0.00707,328.97,334,322.83,333.99,93.95,30745,327.24
16/3/15,0.00698,334,366.66,333.01,366.65,158.78,54995.53,346.36
17/3/15,0.00695,365.99,388,356.05,374,309.96,113155.63,365.06
18/3/15,0.00695,374,378,351,361.99,227.1,82584.98,363.65
19/3/15,0.00681,362,363.1,347.5,357.41,186.54,66243.99,355.12
20/3/15,0.00679,356.49,367.78,350,356.49,134.72,48600.92,360.74
21/3/15,0.00673,364.35,366,350.8,359.97,67.28,24167.8,359.19
22/3/15,0.00667,360,366,354.94,363.51,37.92,13632.87,359.55
23/3/15,0.00668,356.01,380.01,356.01,380.01,160.36,59298.07,369.78
24/3/15,0.00676,380.01,399,377.81,392.01,205.92,79635.43,386.74
25/3/15,0.00682,390,399,385.03,398.98,191.5,74667.52,389.91
26/3/15,0.00684,399,404,384,392.23,192.88,75733.75,392.64
27/3/15,0.00681,392.23,398.3,381,384.63,181.27,70010.56,386.23
